date,year,quarter,month,month_name,week,day,day_of_week,is_weekend
2018-03-11,2018,1,3,March,10,11,6,1
2018-03-12,2018,1,3,March,11,12,0,0
2018-03-13,2018,1,3,March,11,13,1,0
2018-03-14,2018,1,3,March,11,14,2,0
2018-03-15,2018,1,3,March,11,15,3,0
2018-03-16,2018,1,3,March,11,16,4,0
2018-03-17,2018,1,3,March,11,17,5,1
2018-03-18,2018,1,3,March,11,18,6,1
2018-03-19,2018,1,3,March,12,19,0,0
2018-03-20,2018,1,3,March,12,20,1,0
2018-03-21,2018,1,3,March,12,21,2,0
2018-03-22,2018,1,3,March,12,22,3,0
2018-03-23,2018,1,3,March,12,23,4,0
2018-03-24,2018,1,3,March,12,24,5,1
2018-03-25,2018,1,3,March,12,25,6,1
2018-03-26,2018,1,3,March,13,26,0,0
2018-03-27,2018,1,3,March,13,27,1,0
2018-03-28,2018,1,3,March,13,28,2,0
2018-03-29,2018,1,3,March,13,29,3,0
2018-03-30,2018,1,3,March,13,30,4,0
2018-03-31,2018,1,3,March,13,31,5,1
2018-04-01,2018,2,4,April,13,1,6,1
2018-04-02,2018,2,4,April,14,2,0,0
2018-04-03,2018,2,4,April,14,3,1,0
